hypothesis,description,sensor,r2,mae,y_test_std,n_features,model_kind,baseline_r2,sensor_target_std,delta_r2_vs_settings,is_success
H4_reciprocal_remaining,Near-failure nonlinearity rises as inverse remaining life.,s2,0.3856079737720962,0.31980966026970825,0.5076013411825356,8,ridge,-0.0011550281115291217,0.5076013411825356,0.38676300188362533,True
H0_settings_linear,Sensor output is primarily controlled by operating settings.,s2,-0.0011550281115291217,0.40932667398206296,0.5076013411825356,3,linear,-0.0011550281115291217,0.5076013411825356,0.0,False
H5_nonlinear_basis,"Mixed physics-inspired basis (sqrt, reciprocal, exponential degradation terms).",s20,0.5022756516311244,0.10497506026671717,0.18410618374888527,12,ridge,-0.002128982740861929,0.18410618374888527,0.5044046343719863,True
H1_degradation_poly,Sensor output follows monotonic/polynomial degradation trajectory.,s20,0.5010362472018433,0.10504477841719664,0.18410618374888527,3,ridge,-0.002128982740861929,0.18410618374888527,0.5031652299427052,True
H2_settings_plus_degr,Sensors depend on settings and degradation state additively.,s20,0.4921426269611251,0.1060406611578352,0.18410618374888527,5,ridge,-0.002128982740861929,0.18410618374888527,0.494271609701987,True
H3_interaction_settings_degr,Operating-condition effects are degradation-dependent (interaction terms).,s20,0.4921379317022332,0.10601650221860788,0.18410618374888527,11,ridge,-0.002128982740861929,0.18410618374888527,0.4942669144430951,True
H6_arrhenius_loglinear,Arrhenius-like exponential dependence linearized in log(sensor).,s20,0.49098346278126526,0.10632486649542759,0.18410618374888527,5,log_linear_nonneg,-0.002128982740861929,0.18410618374888527,0.4931124455221272,True
H4_reciprocal_remaining,Near-failure nonlinearity rises as inverse remaining life.,s20,0.42987614339324287,0.11254423297346437,0.18410618374888527,8,ridge,-0.002128982740861929,0.18410618374888527,0.4320051261341048,True
H0_settings_linear,Sensor output is primarily controlled by operating settings.,s20,-0.002128982740861929,0.1478390237560266,0.18410618374888527,3,linear,-0.002128982740861929,0.18410618374888527,0.0,False
H5_nonlinear_basis,"Mixed physics-inspired basis (sqrt, reciprocal, exponential degradation terms).",s21,0.5201245176281737,0.062460729831877344,0.11157063360363186,12,ridge,-0.0012279700380031233,0.11157063360363186,0.5213524876661768,True
H1_degradation_poly,Sensor output follows monotonic/polynomial degradation trajectory.,s21,0.519750086540137,0.062485982673834525,0.11157063360363186,3,ridge,-0.0012279700380031233,0.11157063360363186,0.5209780565781401,True
H2_settings_plus_degr,Sensors depend on settings and degradation state additively.,s21,0.5121936882910316,0.06310698427060196,0.11157063360363186,5,ridge,-0.0012279700380031233,0.11157063360363186,0.5134216583290347,True
H3_interaction_settings_degr,Operating-condition effects are degradation-dependent (interaction terms).,s21,0.5120120921294932,0.06311429013500207,0.11157063360363186,11,ridge,-0.0012279700380031233,0.11157063360363186,0.5132400621674963,True
H6_arrhenius_loglinear,Arrhenius-like exponential dependence linearized in log(sensor).,s21,0.5066183525476171,0.06340666199013778,0.11157063360363186,5,log_linear_nonneg,-0.0012279700380031233,0.11157063360363186,0.5078463225856202,True
H4_reciprocal_remaining,Near-failure nonlinearity rises as inverse remaining life.,s21,0.44717996289645756,0.06716597053039368,0.11157063360363186,8,ridge,-0.0012279700380031233,0.11157063360363186,0.4484079329344607,True
H0_settings_linear,Sensor output is primarily controlled by operating settings.,s21,-0.0012279700380031233,0.0897617875941894,0.11157063360363186,3,linear,-0.0012279700380031233,0.11157063360363186,0.0,False
H1_degradation_poly,Sensor output follows monotonic/polynomial degradation trajectory.,s3,0.4529883943950056,3.758824926233873,6.311951418470039,3,ridge,-0.0006697196198719446,6.311951418470039,0.45365811401487754,True
H5_nonlinear_basis,"Mixed physics-inspired basis (sqrt, reciprocal, exponential degradation terms).",s3,0.45285722682511187,3.7598973139244154,6.311951418470039,12,ridge,-0.0006697196198719446,6.311951418470039,0.4535269464449838,True
H2_settings_plus_degr,Sensors depend on settings and degradation state additively.,s3,0.4436599993065917,3.791461014907469,6.311951418470039,5,ridge,-0.0006697196198719446,6.311951418470039,0.44432971892646367,True
H3_interaction_settings_degr,Operating-condition effects are degradation-dependent (interaction terms).,s3,0.4433358081111528,3.7926750790829793,6.311951418470039,11,ridge,-0.0006697196198719446,6.311951418470039,0.44400552773102475,True
H6_arrhenius_loglinear,Arrhenius-like exponential dependence linearized in log(sensor).,s3,0.4363120588141358,3.8106477111771784,6.311951418470039,5,log_linear_nonneg,-0.0006697196198719446,6.311951418470039,0.43698177843400776,True
H4_reciprocal_remaining,Near-failure nonlinearity rises as inverse remaining life.,s3,0.3694836574327577,4.030693250580186,6.311951418470039,8,ridge,-0.0006697196198719446,6.311951418470039,0.37015337705262963,True
H0_settings_linear,Sensor output is primarily controlled by operating settings.,s3,-0.0006697196198719446,4.997355604011616,6.311951418470039,3,linear,-0.0006697196198719446,6.311951418470039,0.0,False
H5_nonlinear_basis,"Mixed physics-inspired basis (sqrt, reciprocal, exponential degradation terms).",s4,0.5931215095461125,4.79487050138407,9.138213151456167,12,ridge,-0.00017884123810740782,9.138213151456167,0.5933003507842199,True
H1_degradation_poly,Sensor output follows monotonic/polynomial degradation trajectory.,s4,0.5924013290286054,4.801002288515245,9.138213151456167,3,ridge,-0.00017884123810740782,9.138213151456167,0.5925801702667128,True
H2_settings_plus_degr,Sensors depend on settings and degradation state additively.,s4,0.5835614440462916,4.847394813020007,9.138213151456167,5,ridge,-0.00017884123810740782,9.138213151456167,0.583740285284399,True
H3_interaction_settings_degr,Operating-condition effects are degradation-dependent (interaction terms).,s4,0.5832480948210454,4.8495034839477125,9.138213151456167,11,ridge,-0.00017884123810740782,9.138213151456167,0.5834269360591529,True
H6_arrhenius_loglinear,Arrhenius-like exponential dependence linearized in log(sensor).,s4,0.5750752872258873,4.914595033202481,9.138213151456167,5,log_linear_nonneg,-0.00017884123810740782,9.138213151456167,0.5752541284639947,True
H4_reciprocal_remaining,Near-failure nonlinearity rises as inverse remaining life.,s4,0.5075074855444377,5.271738580734835,9.138213151456167,8,ridge,-0.00017884123810740782,9.138213151456167,0.5076863267825451,True
H0_settings_linear,Sensor output is primarily controlled by operating settings.,s4,-0.00017884123810740782,7.4071456816293075,9.138213151456167,3,linear,-0.00017884123810740782,9.138213151456167,0.0,False
H0_settings_linear,Sensor output is primarily controlled by operating settings.,s5,-1.25,5.329070518200751e-15,3.552713678800501e-15,3,linear,-1.25,3.552713678800501e-15,0.0,False
H1_degradation_poly,Sensor output follows monotonic/polynomial degradation trajectory.,s5,-1.25,5.329070518200751e-15,3.552713678800501e-15,3,ridge,-1.25,3.552713678800501e-15,0.0,False
H2_settings_plus_degr,Sensors depend on settings and degradation state additively.,s5,-1.25,5.329070518200751e-15,3.552713678800501e-15,5,ridge,-1.25,3.552713678800501e-15,0.0,False
H3_interaction_settings_degr,Operating-condition effects are degradation-dependent (interaction terms).,s5,-1.25,5.329070518200751e-15,3.552713678800501e-15,11,ridge,-1.25,3.552713678800501e-15,0.0,False
H4_reciprocal_remaining,Near-failure nonlinearity rises as inverse remaining life.,s5,-1.25,5.329070518200751e-15,3.552713678800501e-15,8,ridge,-1.25,3.552713678800501e-15,0.0,False
H5_nonlinear_basis,"Mixed physics-inspired basis (sqrt, reciprocal, exponential degradation terms).",s5,-1.25,5.329070518200751e-15,3.552713678800501e-15,12,ridge,-1.25,3.552713678800501e-15,0.0,False
H6_arrhenius_loglinear,Arrhenius-like exponential dependence linearized in log(sensor).,s5,-8.0,1.0658141036401503e-14,3.552713678800501e-15,5,log_linear_nonneg,-1.25,3.552713678800501e-15,-6.75,False
H3_interaction_settings_degr,Operating-condition effects are degradation-dependent (interaction terms).,s6,0.019952146510236135,0.00040514206370360423,0.0014863869847093817,11,ridge,-0.00012477181387304803,0.0014863869847093817,0.020076918324109183,False
H5_nonlinear_basis,"Mixed physics-inspired basis (sqrt, reciprocal, exponential degradation terms).",s6,0.019777830136004093,0.0004038188271805109,0.0014863869847093817,12,ridge,-0.00012477181387304803,0.0014863869847093817,0.01990260194987714,False
H2_settings_plus_degr,Sensors depend on settings and degradation state additively.,s6,0.019272631556086495,0.00040478806213685594,0.0014863869847093817,5,ridge,-0.00012477181387304803,0.0014863869847093817,0.019397403369959543,False
H6_arrhenius_loglinear,Arrhenius-like exponential dependence linearized in log(sensor).,s6,0.01895647061336414,0.00040609288558692653,0.0014863869847093817,5,log_linear_nonneg,-0.00012477181387304803,0.0014863869847093817,0.01908124242723719,False
H1_degradation_poly,Sensor output follows monotonic/polynomial degradation trajectory.,s6,0.018780891307922154,0.00040151663874607517,0.0014863869847093817,3,ridge,-0.00012477181387304803,0.0014863869847093817,0.018905663121795202,False
H4_reciprocal_remaining,Near-failure nonlinearity rises as inverse remaining life.,s6,0.018312975199469506,0.00041331728161884805,0.0014863869847093817,8,ridge,-0.00012477181387304803,0.0014863869847093817,0.018437747013342554,False
H0_settings_linear,Sensor output is primarily controlled by operating settings.,s6,-0.00012477181387304803,0.00040688611967214304,0.0014863869847093817,3,linear,-0.00012477181387304803,0.0014863869847093817,0.0,False
H5_nonlinear_basis,"Mixed physics-inspired basis (sqrt, reciprocal, exponential degradation terms).",s7,0.5611102564924328,0.4982318667883329,0.913951146013676,12,ridge,-0.00022438138915514827,0.913951146013676,0.561334637881588,True
H1_degradation_poly,Sensor output follows monotonic/polynomial degradation trajectory.,s7,0.5603979124811845,0.49826381869561387,0.913951146013676,3,ridge,-0.00022438138915514827,0.913951146013676,0.5606222938703397,True
H2_settings_plus_degr,Sensors depend on settings and degradation state additively.,s7,0.5510583583426032,0.5041146602548457,0.913951146013676,5,ridge,-0.00022438138915514827,0.913951146013676,0.5512827397317583,True
H3_interaction_settings_degr,Operating-condition effects are degradation-dependent (interaction terms).,s7,0.5508028026802061,0.5042024218112826,0.913951146013676,11,ridge,-0.00022438138915514827,0.913951146013676,0.5510271840693612,True
H6_arrhenius_loglinear,Arrhenius-like exponential dependence linearized in log(sensor).,s7,0.542585480927305,0.5104201775055159,0.913951146013676,5,log_linear_nonneg,-0.00022438138915514827,0.913951146013676,0.5428098623164601,True
H4_reciprocal_remaining,Near-failure nonlinearity rises as inverse remaining life.,s7,0.4723855889024807,0.5459515057615377,0.913951146013676,8,ridge,-0.00022438138915514827,0.913951146013676,0.4726099702916359,True
H0_settings_linear,Sensor output is primarily controlled by operating settings.,s7,-0.00022438138915514827,0.7391263859048014,0.913951146013676,3,linear,-0.00022438138915514827,0.913951146013676,0.0,False
H1_degradation_poly,Sensor output follows monotonic/polynomial degradation trajectory.,s8,0.39045494007381,0.04721603863374131,0.07232391031537028,3,ridge,-0.0006558133561027635,0.07232391031537026,0.39111075342991275,True
H5_nonlinear_basis,"Mixed physics-inspired basis (sqrt, reciprocal, exponential degradation terms).",s8,0.38932360960248336,0.047272844717791314,0.07232391031537028,12,ridge,-0.0006558133561027635,0.07232391031537026,0.3899794229585861,True
H2_settings_plus_degr,Sensors depend on settings and degradation state additively.,s8,0.3839044562961078,0.04739541059891524,0.07232391031537028,5,ridge,-0.0006558133561027635,0.07232391031537026,0.3845602696522106,True
H3_interaction_settings_degr,Operating-condition effects are degradation-dependent (interaction terms).,s8,0.38347939970936173,0.0474155595417009,0.07232391031537028,11,ridge,-0.0006558133561027635,0.07232391031537026,0.3841352130654645,True
H6_arrhenius_loglinear,Arrhenius-like exponential dependence linearized in log(sensor).,s8,0.37585996988536163,0.04773392852258703,0.07232391031537028,5,log_linear_nonneg,-0.0006558133561027635,0.07232391031537026,0.3765157832414644,True
H4_reciprocal_remaining,Near-failure nonlinearity rises as inverse remaining life.,s8,0.324328545849202,0.04910476787672875,0.07232391031537028,8,ridge,-0.0006558133561027635,0.07232391031537026,0.3249843592053048,True
H0_settings_linear,Sensor output is primarily controlled by operating settings.,s8,-0.0006558133561027635,0.05829531695620719,0.07232391031537028,3,linear,-0.0006558133561027635,0.07232391031537026,0.0,False
H5_nonlinear_basis,"Mixed physics-inspired basis (sqrt, reciprocal, exponential degradation terms).",s9,0.2870074824006572,11.825916486552064,19.54794375085285,12,ridge,-0.0015773348064833659,19.54794375085285,0.2885848172071406,True
H1_degradation_poly,Sensor output follows monotonic/polynomial degradation trajectory.,s9,0.2864800316067313,11.843546876889114,19.54794375085285,3,ridge,-0.0015773348064833659,19.54794375085285,0.28805736641321467,True
H2_settings_plus_degr,Sensors depend on settings and degradation state additively.,s9,0.2797020395442018,11.908064196283243,19.54794375085285,5,ridge,-0.0015773348064833659,19.54794375085285,0.2812793743506852,True
